"","App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","countpos","countneut","counteg"
"1","Photo Editor & Candy Camera & Grid & ScrapBook","ART_AND_DESIGN",4.1,159,19,"10,000+","Free",0,"Everyone","Art & Design","January 7, 2018","1.0.0","4.0.3 and up",NA,NA,NA
"2","Coloring book moana","ART_AND_DESIGN",3.9,967,14,"500,000+","Free",0,"Everyone","Art & Design;Pretend Play","January 15, 2018","2.0.0","4.0.3 and up",26,4,14
"3","U Launcher Lite – FREE Live Cool Themes, Hide Apps","ART_AND_DESIGN",4.7,87510,8.7,"5,000,000+","Free",0,"Everyone","Art & Design","August 1, 2018","1.2.4","4.0.3 and up",NA,NA,NA
"4","Sketch - Draw & Paint","ART_AND_DESIGN",4.5,215644,25,"50,000,000+","Free",0,"Teen","Art & Design","June 8, 2018","Varies with device","4.2 and up",NA,NA,NA
"5","Pixel Draw - Number Art Coloring Book","ART_AND_DESIGN",4.3,967,2.8,"100,000+","Free",0,"Everyone","Art & Design;Creativity","June 20, 2018","1.1","4.4 and up",NA,NA,NA
"6","Paper flowers instructions","ART_AND_DESIGN",4.4,167,5.6,"50,000+","Free",0,"Everyone","Art & Design","March 26, 2017","1.0","2.3 and up",NA,NA,NA
"7","Smoke Effect Photo Maker - Smoke Editor","ART_AND_DESIGN",3.8,178,19,"50,000+","Free",0,"Everyone","Art & Design","April 26, 2018","1.1","4.0.3 and up",NA,NA,NA
"8","Infinite Painter","ART_AND_DESIGN",4.1,36815,29,"1,000,000+","Free",0,"Everyone","Art & Design","June 14, 2018","6.1.61.1","4.2 and up",NA,NA,NA
"9","Garden Coloring Book","ART_AND_DESIGN",4.4,13791,33,"1,000,000+","Free",0,"Everyone","Art & Design","September 20, 2017","2.9.2","3.0 and up",64,16,10
"10","Kids Paint Free - Drawing Fun","ART_AND_DESIGN",4.7,121,3.1,"10,000+","Free",0,"Everyone","Art & Design;Creativity","July 3, 2018","2.8","4.0.3 and up",NA,NA,NA
"11","Text on Photo - Fonteee","ART_AND_DESIGN",4.4,13880,28,"1,000,000+","Free",0,"Everyone","Art & Design","October 27, 2017","1.0.4","4.1 and up",NA,NA,NA
"12","Name Art Photo Editor - Focus n Filters","ART_AND_DESIGN",4.4,8788,12,"1,000,000+","Free",0,"Everyone","Art & Design","July 31, 2018","1.0.15","4.0 and up",NA,NA,NA
"13","Tattoo Name On My Photo Editor","ART_AND_DESIGN",4.2,44829,20,"10,000,000+","Free",0,"Teen","Art & Design","April 2, 2018","3.8","4.1 and up",NA,NA,NA
"14","Mandala Coloring Book","ART_AND_DESIGN",4.6,4326,21,"100,000+","Free",0,"Everyone","Art & Design","June 26, 2018","1.0.4","4.4 and up",NA,NA,NA
"15","3D Color Pixel by Number - Sandbox Art Coloring","ART_AND_DESIGN",4.4,1518,37,"100,000+","Free",0,"Everyone","Art & Design","August 3, 2018","1.2.3","2.3 and up",NA,NA,NA
"16","Learn To Draw Kawaii Characters","ART_AND_DESIGN",3.2,55,2.7,"5,000+","Free",0,"Everyone","Art & Design","June 6, 2018","NaN","4.2 and up",NA,NA,NA
"17","Photo Designer - Write your name with shapes","ART_AND_DESIGN",4.7,3632,5.5,"500,000+","Free",0,"Everyone","Art & Design","July 31, 2018","3.1","4.1 and up",NA,NA,NA
"18","350 Diy Room Decor Ideas","ART_AND_DESIGN",4.5,27,17,"10,000+","Free",0,"Everyone","Art & Design","November 7, 2017","1.0","2.3 and up",NA,NA,NA
"19","FlipaClip - Cartoon animation","ART_AND_DESIGN",4.3,194216,39,"5,000,000+","Free",0,"Everyone","Art & Design","August 3, 2018","2.2.5","4.0.3 and up",4,0,0
"20","ibis Paint X","ART_AND_DESIGN",4.6,224399,31,"10,000,000+","Free",0,"Everyone","Art & Design","July 30, 2018","5.5.4","4.1 and up",NA,NA,NA
"21","Logo Maker - Small Business","ART_AND_DESIGN",4,450,14,"100,000+","Free",0,"Everyone","Art & Design","April 20, 2018","4.0","4.1 and up",NA,NA,NA
"22","Boys Photo Editor - Six Pack & Men's Suit","ART_AND_DESIGN",4.1,654,12,"100,000+","Free",0,"Everyone","Art & Design","March 20, 2018","1.1","4.0.3 and up",23,10,5
"23","Superheroes Wallpapers | 4K Backgrounds","ART_AND_DESIGN",4.7,7699,4.2,"500,000+","Free",0,"Everyone 10+","Art & Design","July 12, 2018","2.2.6.2","4.0.3 and up",NA,NA,NA
"24","Mcqueen Coloring pages","ART_AND_DESIGN",4.3,61,7,"100,000+","Free",0,"Everyone","Art & Design;Action & Adventure","March 7, 2018","1.0.0","4.1 and up",NA,NA,NA
"25","HD Mickey Minnie Wallpapers","ART_AND_DESIGN",4.7,118,23,"50,000+","Free",0,"Everyone","Art & Design","July 7, 2018","1.1.3","4.1 and up",NA,NA,NA
"26","Harley Quinn wallpapers HD","ART_AND_DESIGN",4.8,192,6,"10,000+","Free",0,"Everyone","Art & Design","April 25, 2018","1.5","3.0 and up",NA,NA,NA
"27","Colorfit - Drawing & Coloring","ART_AND_DESIGN",4.7,20260,25,"500,000+","Free",0,"Everyone","Art & Design;Creativity","October 11, 2017","1.0.8","4.0.3 and up",29,1,8
"28","Animated Photo Editor","ART_AND_DESIGN",4.1,203,6.1,"100,000+","Free",0,"Everyone","Art & Design","March 21, 2018","1.03","4.0.3 and up",21,10,4
"29","Pencil Sketch Drawing","ART_AND_DESIGN",3.9,136,4.6,"10,000+","Free",0,"Everyone","Art & Design","July 12, 2018","6.0","2.3 and up",NA,NA,NA
"30","Easy Realistic Drawing Tutorial","ART_AND_DESIGN",4.1,223,4.2,"100,000+","Free",0,"Everyone","Art & Design","August 22, 2017","1.0","2.3 and up",NA,NA,NA
"31","Pink Silver Bow Keyboard Theme","ART_AND_DESIGN",4.2,1120,9.2,"100,000+","Free",0,"Everyone","Art & Design","July 12, 2018","6.7.12.2018","4.0.3 and up",NA,NA,NA
"32","Art Drawing Ideas","ART_AND_DESIGN",4.1,227,5.2,"50,000+","Free",0,"Everyone","Art & Design","May 31, 2018","1.2","2.3 and up",NA,NA,NA
"33","Anime Manga Coloring Book","ART_AND_DESIGN",4.5,5035,11,"100,000+","Free",0,"Everyone","Art & Design","July 19, 2018","2.20","4.0 and up",19,2,3
"34","Easy Origami Ideas","ART_AND_DESIGN",4.2,1015,11,"100,000+","Free",0,"Everyone","Art & Design","January 6, 2018","1.1.0","4.1 and up",17,6,11
"35","I Creative Idea","ART_AND_DESIGN",4.7,353,4.2,"10,000+","Free",0,"Teen","Art & Design","April 27, 2018","1.6","4.1 and up",NA,NA,NA
"36","How to draw Ladybug and Cat Noir","ART_AND_DESIGN",3.8,564,9.2,"100,000+","Free",0,"Everyone","Art & Design","July 11, 2018","2.1","4.1 and up",NA,NA,NA
"37","UNICORN - Color By Number & Pixel Art Coloring","ART_AND_DESIGN",4.7,8145,24,"500,000+","Free",0,"Everyone","Art & Design;Creativity","August 2, 2018","1.0.9","4.4 and up",NA,NA,NA
"38","PIP Camera - PIP Collage Maker","ART_AND_DESIGN",4.7,158,11,"10,000+","Free",0,"Everyone","Art & Design","November 29, 2017","1.3","4.0.3 and up",NA,NA,NA
"39","How To Color Disney Princess - Coloring Pages","ART_AND_DESIGN",4,591,9.4,"500,000+","Free",0,"Everyone","Art & Design","March 31, 2018","1","4.0 and up",NA,NA,NA
"40","Drawing Clothes Fashion Ideas","ART_AND_DESIGN",4.2,117,15,"10,000+","Free",0,"Everyone","Art & Design","July 20, 2018","2.0.1","4.0.3 and up",NA,NA,NA
"41","Sad Poetry Photo Frames 2018","ART_AND_DESIGN",4.5,176,10,"100,000+","Free",0,"Everyone","Art & Design","April 2, 2018","1.0","4.0.3 and up",NA,NA,NA
"42","Paint Splash!","ART_AND_DESIGN",3.8,2206,1.2,"100,000+","Free",0,"Everyone","Art & Design;Creativity","April 15, 2018","1.46","4.1 and up",NA,NA,NA
"43","Popsicle Sticks and Similar DIY Craft Ideas","ART_AND_DESIGN",4.2,26,12,"10,000+","Free",0,"Everyone","Art & Design","January 3, 2018","1.0.0","4.1 and up",NA,NA,NA
"44","Canva: Poster, banner, card maker & graphic design","ART_AND_DESIGN",4.7,174531,24,"10,000,000+","Free",0,"Everyone","Art & Design","July 31, 2018","1.6.1","4.1 and up",30,5,3
"45","Install images with music to make video without Net - 2018","ART_AND_DESIGN",4.6,1070,26,"100,000+","Free",0,"Everyone","Art & Design","November 14, 2017","1.6","4.1 and up",NA,NA,NA
"46","Little Teddy Bear Colouring Book Game","ART_AND_DESIGN",4.2,85,8,"100,000+","Free",0,"Everyone","Art & Design","December 17, 2017","2.0.0","4.1 and up",NA,NA,NA
"47","How To Draw Food","ART_AND_DESIGN",4.3,845,7.9,"100,000+","Free",0,"Everyone","Art & Design","May 28, 2018","1.0","2.3 and up",NA,NA,NA
"48","Monster Truck Stunt 3D 2019","AUTO_AND_VEHICLES",4.2,367,25,"100,000+","Free",0,"Everyone","Auto & Vehicles","May 10, 2018","1.0","4.0.3 and up",NA,NA,NA
"49","Real Tractor Farming","AUTO_AND_VEHICLES",4,1598,56,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","11.0","4.1 and up",NA,NA,NA
"50","Ultimate F1 Racing Championship","AUTO_AND_VEHICLES",3.8,284,57,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","3.0","4.1 and up",NA,NA,NA
"51","American Muscle Car Race","AUTO_AND_VEHICLES",3.9,129,35,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","3.0","4.1 and up",NA,NA,NA
"52","Offroad Oil Tanker Driver Transport Truck 2019","AUTO_AND_VEHICLES",4.3,542,33,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 31, 2018","4.0","4.1 and up",NA,NA,NA
"53","Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","AUTO_AND_VEHICLES",4.9,10479,33,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 18, 2018","1.7.1","4.0 and up",NA,NA,NA
"54","Gas Prices (Germany only)","AUTO_AND_VEHICLES",4.4,805,5.6,"50,000+","Free",0,"Everyone","Auto & Vehicles","July 29, 2018","2.5.1","4.4 and up",NA,NA,NA
"55","Extreme Rally Championship","AUTO_AND_VEHICLES",4.2,129,54,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","3.0","4.1 and up",NA,NA,NA
"56","REG - Check the regnumber, find information about Swedish vehicles","AUTO_AND_VEHICLES",3.9,3971,3.6,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 30, 2018","2.493","4.4 and up",NA,NA,NA
"57","CityBus Lviv","AUTO_AND_VEHICLES",4.6,534,5.7,"10,000+","Free",0,"Everyone","Auto & Vehicles","July 8, 2018","1.9.1","4.0.3 and up",NA,NA,NA
"58","CDL Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,7774,17,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 3, 2018","1.7","4.2 and up",21,2,1
"59","ezETC (ETC balance inquiry, meter trial, real-time traffic)","AUTO_AND_VEHICLES",4.3,38846,8.6,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 28, 2018","2.20 Build 02","4.1 and up",NA,NA,NA
"60","Free VIN Report for Used Cars","AUTO_AND_VEHICLES",4.6,2431,2.4,"100,000+","Free",0,"Everyone","Auto & Vehicles","June 12, 2018","1.37","4.0 and up",26,6,3
"61","DMV Permit Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,6090,27,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 3, 2018","1.7","4.2 and up",30,2,2
"62","Check Vehicle Tax","AUTO_AND_VEHICLES",3.9,295,2.7,"10,000+","Free",0,"Everyone","Auto & Vehicles","July 30, 2018","0.2.1","4.4 and up",NA,NA,NA
"63","Used Cars Mexico","AUTO_AND_VEHICLES",4,190,2.5,"50,000+","Free",0,"Everyone","Auto & Vehicles","October 14, 2016","1.0","2.3 and up",NA,NA,NA
"64","Used cars for sale - Trovit","AUTO_AND_VEHICLES",4.2,52530,7,"5,000,000+","Free",0,"Everyone","Auto & Vehicles","July 16, 2018","4.47.3","4.0.3 and up",NA,NA,NA
"65","Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines","AUTO_AND_VEHICLES",4.8,116986,35,"5,000,000+","Free",0,"Everyone","Auto & Vehicles","August 2, 2018","1.9.7","4.0.3 and up",NA,NA,NA
"66","SK Enca Direct Malls - Used Cars Search","AUTO_AND_VEHICLES",3.6,1379,16,"500,000+","Free",0,"Everyone","Auto & Vehicles","August 2, 2018","2.2.21","4.2 and up",NA,NA,NA
"67","Android Auto - Maps, Media, Messaging & Voice","AUTO_AND_VEHICLES",4.2,271920,16,"10,000,000+","Free",0,"Teen","Auto & Vehicles","July 11, 2018","Varies with device","5.0 and up",30,0,1
"68","Tickets SDA 2019 + Exam RF","AUTO_AND_VEHICLES",4.8,7021,17,"500,000+","Free",0,"Everyone","Auto & Vehicles","July 27, 2018","1.79","4.0 and up",NA,NA,NA
"69","Super Cars Wallpapers And Backgrounds","AUTO_AND_VEHICLES",4.6,197,3.4,"50,000+","Free",0,"Everyone","Auto & Vehicles","June 14, 2018","1.3","4.0 and up",NA,NA,NA
"70","Police Lights, Sirens & Follow Me","AUTO_AND_VEHICLES",4.5,737,8.9,"100,000+","Free",0,"Everyone","Auto & Vehicles","June 8, 2018","2.3.5.1","4.1 and up",NA,NA,NA
"71","Police Detector (Speed Camera Radar)","AUTO_AND_VEHICLES",4.3,3574,3.9,"1,000,000+","Free",0,"Everyone 10+","Auto & Vehicles","July 4, 2018","1.6","4.0 and up",NA,NA,NA
"72","Best Car Wallpapers","AUTO_AND_VEHICLES",4.5,994,2.9,"100,000+","Free",0,"Everyone","Auto & Vehicles","March 27, 2018","1.6","4.1 and up",1,1,1
"73","Tickets + PDA 2018 Exam","AUTO_AND_VEHICLES",4.9,197136,38,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 15, 2018","8.31","4.1 and up",NA,NA,NA
"74","Pick Your Part Garage","AUTO_AND_VEHICLES",3.9,142,32,"50,000+","Free",0,"Everyone","Auto & Vehicles","July 24, 2018","1.1.5.0","6.0 and up",NA,NA,NA
"75","PakWheels: Buy & Sell Cars","AUTO_AND_VEHICLES",4.4,15168,37,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 27, 2018","10.0.2","4.2 and up",NA,NA,NA
"76","Supervision service","AUTO_AND_VEHICLES",4,2155,15,"500,000+","Free",0,"Everyone","Auto & Vehicles","July 30, 2018","1.10.3","5.0 and up",NA,NA,NA
"77","Speed Camera Detector - Traffic & Speed Alert","AUTO_AND_VEHICLES",4.3,138,5.4,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 23, 2018","1.0","4.0.3 and up",NA,NA,NA
"78","Used car search Goo net whole car Go to net","AUTO_AND_VEHICLES",3.7,5414,18,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 23, 2018","3.20.1","4.4 and up",NA,NA,NA
"79","BEST CAR SOUNDS","AUTO_AND_VEHICLES",4.3,348,38,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 29, 2018","1.0.3","2.3 and up",25,9,3
"80","RST - Sale of cars on the PCT","AUTO_AND_VEHICLES",3.2,250,1.1,"100,000+","Free",0,"Everyone","Auto & Vehicles","April 27, 2018","1.4","4.0.3 and up",NA,NA,NA
"81","SMS Park","AUTO_AND_VEHICLES",4.5,3617,7.9,"100,000+","Free",0,"Everyone","Auto & Vehicles","May 16, 2018","2.8.2","4.1 and up",NA,NA,NA
"82","SKencar","AUTO_AND_VEHICLES",3.7,4806,35,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 31, 2018","4.0.3","4.0.3 and up",NA,NA,NA
"83","auto fines","AUTO_AND_VEHICLES",4.6,31433,17,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","August 2, 2018","1.40","4.0.3 and up",NA,NA,NA
"84","Used car is the first car - used car purchase, used car quotation, dealer information to","AUTO_AND_VEHICLES",4.6,5097,19,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 23, 2018","1.5.18","4.0.3 and up",NA,NA,NA
"85","All of the parking lot - National Park application (parking lot search / parking sharing / discount payment)","AUTO_AND_VEHICLES",4,1754,14,"500,000+","Free",0,"Everyone","Auto & Vehicles","June 2, 2018","2.3.4","4.0 and up",NA,NA,NA
"86","Inquiry Fines and Debits of Vehicles","AUTO_AND_VEHICLES",4.4,2680,2.2,"500,000+","Free",0,"Everyone","Auto & Vehicles","March 20, 2018","1.03","4.0.3 and up",NA,NA,NA
"87","Gas Station","AUTO_AND_VEHICLES",4,1288,4.5,"100,000+","Free",0,"Everyone","Auto & Vehicles","April 21, 2018","2.17","4.0 and up",NA,NA,NA
"88","Hush - Beauty for Everyone","BEAUTY",4.7,18900,17,"500,000+","Free",0,"Everyone","Beauty","August 2, 2018","6.10.1","5.0 and up",NA,NA,NA
"89","ipsy: Makeup, Beauty, and Tips","BEAUTY",4.9,49790,14,"1,000,000+","Free",0,"Everyone","Beauty","November 9, 2017","2.3.0","4.1 and up",NA,NA,NA
"90","Natural recipes for your beauty","BEAUTY",4.7,1150,9.8,"100,000+","Free",0,"Everyone","Beauty","May 15, 2018","4.0","4.1 and up",NA,NA,NA
"91","BestCam Selfie-selfie, beauty camera, photo editor","BEAUTY",3.9,1739,21,"500,000+","Free",0,"Everyone","Beauty","July 12, 2018","1.0.6","4.0.3 and up",28,39,32
"92","Beauty Selfie Camera","BEAUTY",4.2,2225,52,"500,000+","Free",0,"Everyone","Beauty","February 28, 2018","1.6","4.1 and up",NA,NA,NA
"93","Hairstyles step by step","BEAUTY",4.6,4369,14,"100,000+","Free",0,"Everyone","Beauty","July 25, 2018","1.9","4.0.3 and up",67,10,4
